perth_suburb	postcode	lat	long	med_price_2017	change_2017	change_2017_per	buble_change
Forrestfield	6058	-31.986574	116.010649	426000	0.073	7.3	36.7
Fremantle	6160	-32.035478	115.764573	820000	0.075	7.5	36.9
Oakford	6121	-32.208934	115.916459	825000	0.075	7.5	36.9
Champion Lakes	6111	-32.121537	115.989224	442500	0.079	7.9	37.3
Floreat	6014	-31.937648	115.792209	1348750	0.081	8.1	37.5
Forrestdale	6112	-32.152615	115.947869	415000	0.081	8.1	37.5
Jane Brook	6056	-31.859167	116.047393	525000	0.085	8.5	37.9
Lathlain	6100	-31.972138	115.911365	706250	0.087	8.7	38.1
Leederville	6007	-31.93648	115.841231	935000	0.087	8.7	38.1
South Guildford	6055	-31.915626	115.975488	527500	0.088	8.8	38.2
Ardross	6153	-32.024879	115.841414	1050000	0.094	9.4	38.8
Henley Brook	6055	-31.808827	116.000796	492500	0.094	9.4	38.8
Jindalee	6036	-31.644341	115.683231	620000	0.107	10.7	40.1
Menora	6050	-31.918072	115.863163	1050000	0.111	11.1	40.5
Mount Helena	6082	-31.876828	116.210531	467500	0.113	11.3	40.7
Subiaco	6008	-31.94964	115.823977	1297500	0.114	11.4	40.8
Claremont	6010	-31.981145	115.781247	1460000	0.123	12.3	41.7
City Beach	6015	-31.938276	115.754198	1835000	0.127	12.7	42.1
Helena Valley	6056	-31.916917	116.041624	600000	0.132	13.2	42.6
Sawyers Valley	6074	-31.902142	116.201914	520000	0.133	13.3	42.7
West Leederville	6007	-31.940713	115.832279	1247500	0.134	13.4	42.8
Mount Richon	6112	-32.159916	116.02069	486000	0.138	13.8	43.2
Kallaroo	6025	-31.790785	115.745092	802500	0.146	14.6	44
Nedlands	6009	-31.978007	115.81002	1667500	0.15	15	44.4
Parkerville	6081	-31.876046	116.146074	539000	0.155	15.5	44.9
Bicton	6157	-32.02998	115.784534	1050000	0.176	17.6	47
Jolimont	6014	-31.947602	115.811572	1195000	0.201	20.1	49.5
Bickley	6076	-32.005284	116.090007	760000	0.251	25.1	54.5
North Fremantle	6159	-32.029041	115.751874	1230000	0.281	28.1	57.5
Herne Hill	6056	-31.829177	116.016586	507500	0.353	35.3	64.7
O'Connor	6163	-32.056749	115.793484	636000	0.6	60	89.4
Burswood	6100	-31.959952	115.902637	1020000	0.625	62.5	91.9
Orange Grove	6109	-32.027688	116.018821	865000	0.765	76.5	105.9
Cockburn Central	6164	-31.964866	115.801031	1400000	1.11	111	140.4
Pickering Brook	6076	-32.034596	116.104944	785000	1.415	141.5	170.9
